,hidden,batch_size,reg,lr,train_cost,train_acc_total,dev_cost,dev_acc_total,test_acc_total,err,train_acc_0,dev_acc_0,test_acc_0,train_acc_1,dev_acc_1,test_acc_1,train_acc_2,dev_acc_2,test_acc_2
0,10,100,0.0,0.05,0.8247460363526185,0.5945945945945946,0.8894324450566192,0.5534665099882491,0.5464159811985899,2,0.6146572104018913,0.3829787234042553,0.3475177304964539,0.3492063492063492,0.3333333333333333,0.3208020050125313,0.9003215434083601,0.9131832797427653,0.9260450160771704
1,100,100,0.0,0.05,0.7569128328958056,0.7461809635722679,1.4226499549135834,0.5828437132784959,0.5628672150411281,0,0.8108747044917257,0.48936170212765956,0.45390070921985815,0.5355054302422724,0.3533834586466165,0.3483709273182957,0.9871382636655949,0.9196141479099679,0.887459807073955
2,300,100,0.0,0.05,1.021328341526483,0.7481394437916177,2.492167138496596,0.5475910693301997,0.5440658049353702,0,0.9550827423167849,0.48226950354609927,0.46808510638297873,0.48370927318295737,0.2606516290726817,0.2857142857142857,0.9935691318327974,0.9453376205787781,0.909967845659164
3,10,100,0.001,0.05,0.8730580014592713,0.5566000783392088,0.8934915440029189,0.554641598119859,0.5440658049353702,2,0.4491725768321513,0.2624113475177305,0.3049645390070922,0.3057644110275689,0.3558897243107769,0.3208020050125313,0.9271168274383709,0.9421221864951769,0.9389067524115756
4,100,100,0.001,0.05,1.366540127664843,0.5851938895417156,1.4995137547335275,0.5276145710928319,0.49236192714453586,2,0.6761229314420804,0.48226950354609927,0.425531914893617,0.23893065998329155,0.19047619047619047,0.15037593984962405,0.9882100750267953,0.9807073954983923,0.9614147909967846
5,300,100,0.001,0.05,1.8813647133027216,0.5754014884449667,2.303314432549231,0.4888366627497062,0.47473560517038776,2,0.7848699763593381,0.45390070921985815,0.48226950354609927,0.1720969089390142,0.10776942355889724,0.07268170426065163,0.9978563772775991,0.9935691318327974,0.9871382636655949
6,10,100,0.005,0.05,0.9405102239987743,0.4731688209949079,0.9117201842646134,0.5229142185663925,0.500587544065805,2,0.009456264775413711,0.0070921985815602835,0.04964539007092199,0.26148705096073516,0.3483709273182957,0.2857142857142857,0.954983922829582,0.9807073954983923,0.9807073954983923
7,100,100,0.005,0.05,1.2982614149854304,0.4563258911084998,1.2232743913886541,0.44535840188014103,0.4406580493537015,2,0.18439716312056736,0.05673758865248227,0.04964539007092199,0.13533834586466165,0.15037593984962405,0.14786967418546365,0.9914255091103966,1.0,0.9935691318327974
8,300,100,0.005,0.05,1.6983050358432434,0.4383078730904818,1.5841893940154954,0.42303172737955347,0.4218566392479436,2,0.25059101654846333,0.14893617021276595,0.19148936170212766,0.06850459482038429,0.07017543859649122,0.05513784461152882,0.9978563772775991,1.0,0.9967845659163987
9,10,100,0.01,0.05,1.062076268702166,0.43791617704661184,1.0205336879404894,0.4582843713278496,0.44418331374853115,2,0.0,0.0,0.0,0.16374269005847952,0.19799498746867167,0.17293233082706766,0.9882100750267953,1.0,0.9935691318327974
10,100,100,0.01,0.05,1.4055911061369164,0.41245593419506466,1.3004227053318036,0.42420681551116335,0.41245593419506466,2,0.0,0.0,0.0,0.10526315789473684,0.12531328320802004,0.10526315789473684,0.9935691318327974,1.0,0.9935691318327974
11,300,100,0.01,0.05,1.8202299458849884,0.38229533881707795,1.6764856931462997,0.39600470035252644,0.38660399529964745,2,0.0,0.0,0.0,0.036758563074352546,0.06516290726817042,0.045112781954887216,0.9989281886387996,1.0,1.0
12,10,100,0.05,0.05,1.0366919735884772,0.3654524089306698,1.0370225426105237,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,100,100,0.05,0.05,1.4345984177359357,0.3654524089306698,1.4314017681681754,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
14,300,100,0.05,0.05,2.61180959778116,0.3654524089306698,2.6032305723974245,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
15,10,100,0.0,0.1,1.0255155347819551,0.5150802976889933,1.0237666427382621,0.5099882491186839,0.491186839012926,2,0.34278959810874704,0.19858156028368795,0.2198581560283688,0.23976608187134502,0.2606516290726817,0.21553884711779447,0.9464094319399786,0.9710610932475884,0.9678456591639871
16,100,100,0.0,0.1,0.8188845824623168,0.7869173521347435,1.8850357391235621,0.6016451233842538,0.5757931844888367,0,0.8888888888888888,0.48936170212765956,0.5602836879432624,0.5889724310776943,0.38095238095238093,0.3308270676691729,0.9946409431939979,0.9356913183279743,0.8971061093247589
17,300,100,0.0,0.1,0.9874662070653035,0.7971014492753623,3.0438193170162373,0.5746180963572268,0.5487661574618097,0,0.966903073286052,0.46099290780141844,0.48936170212765956,0.5856307435254804,0.3208020050125313,0.2982456140350877,0.9914255091103966,0.9517684887459807,0.8971061093247589
18,10,100,0.001,0.1,1.0233799413258107,0.4919702311006659,0.9982694244460882,0.5193889541715628,0.5041128084606346,2,0.20567375886524822,0.12056737588652482,0.19148936170212766,0.22890559732664995,0.2982456140350877,0.24812030075187969,0.9592711682743837,0.9839228295819936,0.9742765273311897
19,100,100,0.001,0.1,2.0219577921626284,0.5225225225225225,2.0269037822257086,0.4864864864864865,0.45593419506462984,2,0.5531914893617021,0.36879432624113473,0.3475177304964539,0.14285714285714285,0.13533834586466165,0.07769423558897243,0.9957127545551983,0.9903536977491961,0.9903536977491961
20,300,100,0.001,0.1,2.9975548641982055,0.5154719937328633,3.2077571952762085,0.4606345475910693,0.44653349001175086,2,0.6335697399527187,0.375886524822695,0.4326241134751773,0.09774436090225563,0.07268170426065163,0.03007518796992481,0.9978563772775991,0.9967845659163987,0.9871382636655949
21,10,100,0.005,0.1,1.1705466612320528,0.4257735996866432,1.1216320865902456,0.4394829612220917,0.4289071680376028,2,0.0,0.0,0.0,0.13533834586466165,0.15789473684210525,0.14035087719298245,0.9914255091103966,1.0,0.9935691318327974
22,100,100,0.005,0.1,1.1576919729740163,0.42538190364277323,1.0978906362086513,0.44418331374853115,0.4206815511163337,2,0.0,0.0,0.0,0.13700918964076858,0.16791979949874686,0.12280701754385964,0.9882100750267953,1.0,0.9935691318327974
23,300,100,0.005,0.1,1.705903514147423,0.3920877399138269,1.6083794987554145,0.3901292596944771,0.3783783783783784,0,0.07565011820330969,0.0070921985815602835,0.0,0.03007518796992481,0.05012531328320802,0.02756892230576441,1.0,1.0,1.0
24,10,100,0.01,0.1,1.2424415132277433,0.39796318057187624,1.192377622010943,0.41598119858989424,0.399529964747356,2,0.0,0.0,0.0,0.07518796992481203,0.10776942355889724,0.07769423558897243,0.992497320471597,1.0,0.9935691318327974
25,100,100,0.01,0.1,1.4697355232848073,0.3791617704661183,1.3896415857352913,0.39482961222091656,0.3783783783783784,2,0.0,0.0,0.0,0.03258145363408521,0.06265664160401002,0.02756892230576441,0.9957127545551983,1.0,1.0
26,300,100,0.01,0.1,1.8541286441142657,0.36584410497453973,1.7823176747475356,0.3689776733254994,0.3689776733254994,0,0.0,0.0,0.0,0.000835421888053467,0.007518796992481203,0.007518796992481203,1.0,1.0,1.0
27,10,100,0.05,0.1,1.088098767949409,0.3654524089306698,1.088434491852018,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
28,100,100,0.05,0.1,1.4445594558096475,0.3654524089306698,1.4480675671816996,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
29,300,100,0.05,0.1,2.929929958078011,0.3654524089306698,2.9292238067670033,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
30,10,100,0.0,0.4,1.4873390767629011,0.4645515080297689,1.4341883901083194,0.500587544065805,0.45475910693301996,2,0.15839243498817968,0.1276595744680851,0.14184397163120568,0.17376775271512113,0.2531328320802005,0.14786967418546365,0.9764201500535906,0.9871382636655949,0.9903536977491961
31,100,100,0.0,0.4,2.923832221624169,0.6498237367802585,4.093674961427426,0.5193889541715628,0.500587544065805,2,0.9432624113475178,0.6099290780141844,0.6312056737588653,0.27485380116959063,0.12531328320802004,0.10025062656641603,0.9978563772775991,0.9839228295819936,0.954983922829582
32,300,100,0.0,0.4,0.4379211254906215,0.9287113200156678,4.746548736439591,0.6239717978848414,0.6345475910693302,0,0.6170212765957447,0.14893617021276595,0.16312056737588654,0.9966583124477861,0.6616541353383458,0.7293233082706767,0.9828510182207931,0.7909967845659164,0.7266881028938906
33,10,100,0.001,0.4,1.6341231682882364,0.41245593419506466,1.5278930353818863,0.42538190364277323,0.4218566392479436,0,0.0,0.0,0.0,0.10442773600668337,0.12781954887218044,0.12531328320802004,0.9946409431939979,1.0,0.9935691318327974
34,100,100,0.001,0.4,1.7969637216024872,0.399921660791226,1.6314155203158311,0.4101057579318449,0.3971797884841363,2,0.0,0.0,0.0,0.07685881370091896,0.09523809523809523,0.07268170426065163,0.9957127545551983,1.0,0.9935691318327974
35,300,100,0.001,0.4,1.8334172696366038,0.3971797884841363,1.654908056604306,0.41245593419506466,0.399529964747356,2,0.0,0.0,0.0,0.07101086048454469,0.10025062656641603,0.07518796992481203,0.9957127545551983,1.0,0.9967845659163987
36,10,100,0.005,0.4,1.7891591767082808,0.3654524089306698,1.763060430715236,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
37,100,100,0.005,0.4,1.6779101709869442,0.3662358010184097,1.6332527038256408,0.36780258519388953,0.3689776733254994,2,0.0,0.0,0.0,0.001670843776106934,0.005012531328320802,0.007518796992481203,1.0,1.0,1.0
38,300,100,0.005,0.4,1.9604358920323837,0.3654524089306698,1.9066911064036283,0.3654524089306698,0.36662749706227965,2,0.0,0.0,0.0,0.0,0.0,0.002506265664160401,1.0,1.0,1.0
39,10,100,0.01,0.4,1.3912101424892311,0.3654524089306698,1.3899683512306058,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
40,100,100,0.01,0.4,1.7477729961328452,0.3654524089306698,1.733802335824117,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
41,300,100,0.01,0.4,1.8817154672030747,0.3654524089306698,1.8780692134291341,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
42,10,100,0.05,0.4,2.242002703446578,0.3654524089306698,2.2430638080525873,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
43,100,100,0.05,0.4,1.673153327752791,0.3654524089306698,1.6744444954417768,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
44,300,100,0.05,0.4,1.997408911371068,0.3654524089306698,1.9989044822099968,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
